City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
59,Ati,TD,2021-08-01 22:40:12,13.2154,18.3353,77.11,78,100,7.9,overcast clouds
60,Roald,NO,2021-08-01 22:38:00,62.5833,6.1333,54.0,76,90,6.91,overcast clouds
61,Nizhniy Odes,RU,2021-08-01 22:43:14,63.6445,54.856,52.84,98,18,4.45,few clouds
62,Kapaa,US,2021-08-01 22:35:29,22.0752,-159.319,84.18,77,90,4.0,light rain
63,Port Alfred,ZA,2021-08-01 22:35:31,-33.5906,26.891,61.25,82,46,25.37,scattered clouds
64,Atuona,PF,2021-08-01 22:42:39,-9.8,-139.0333,77.11,69,31,10.36,scattered clouds
65,Mataura,NZ,2021-08-01 22:35:31,-46.1927,168.8643,44.47,91,84,2.37,broken clouds
66,Sapa,PH,2021-08-01 22:38:11,5.1544,120.3241,82.24,79,100,9.01,overcast clouds
67,Barrow,US,2021-08-01 22:36:05,71.2906,-156.7887,51.82,77,90,17.27,overcast clouds
68,Bridlington,GB,2021-08-01 22:38:50,54.0831,-0.1919,55.85,75,5,10.29,clear sky
69,Airai,TL,2021-08-01 22:43:15,-8.9266,125.4092,61.36,74,21,3.74,few clouds
70,Sibiti,CG,2021-08-01 22:43:16,-3.6819,13.3499,69.93,76,100,6.24,overcast clouds
71,Praia Da Vitoria,PT,2021-08-01 22:37:06,38.7333,-27.0667,74.75,94,90,14.99,light intensity drizzle
72,Bathsheba,BB,2021-08-01 22:43:16,13.2167,-59.5167,83.01,74,20,11.5,few clouds
73,Esso,RU,2021-08-01 22:43:16,55.9333,158.7,53.65,62,97,1.95,light rain
74,Korla,CN,2021-08-01 22:43:17,41.7597,86.1469,74.71,18,100,6.2,overcast clouds
75,Kabare,CD,2021-08-01 22:43:17,-2.4683,28.8242,63.9,61,86,1.03,overcast clouds
76,Marrakesh,MA,2021-08-01 22:42:32,31.6315,-8.0083,71.67,56,16,6.91,few clouds
77,Esperance,AU,2021-08-01 22:36:04,-33.8667,121.9,49.84,67,65,21.34,broken clouds
78,Jamestown,US,2021-08-01 22:35:40,42.097,-79.2353,69.39,66,20,4.0,few clouds
79,Vila Velha,BR,2021-08-01 22:35:32,-20.3297,-40.2925,71.96,65,40,6.91,scattered clouds
80,Kodiak,US,2021-08-01 22:33:50,57.79,-152.4072,60.31,77,75,6.91,broken clouds
81,Saint-Pierre,RE,2021-08-01 22:35:43,-21.3393,55.4781,67.64,68,36,5.75,scattered clouds
82,Yellowknife,CA,2021-08-01 22:32:51,62.456,-114.3525,87.33,28,20,3.44,few clouds
83,Ilulissat,GL,2021-08-01 22:43:13,69.2167,-51.1,62.62,34,1,11.5,clear sky
84,Marevo,RU,2021-08-01 22:43:18,57.3146,32.0804,61.34,72,100,3.78,overcast clouds
85,Ancud,CL,2021-08-01 22:43:14,-41.8697,-73.8203,47.73,82,58,3.85,broken clouds
86,San Patricio,US,2021-08-01 22:38:02,28.017,-97.5169,95.09,55,99,16.67,overcast clouds
87,Okhotsk,RU,2021-08-01 22:38:28,59.3833,143.3,62.69,50,0,5.95,clear sky
88,Boende,CD,2021-08-01 22:35:39,-0.2167,20.8667,72.79,77,100,2.82,overcast clouds
89,Hilo,US,2021-08-01 22:34:45,19.7297,-155.09,82.13,69,75,5.75,light rain
90,Oranjemund,NA,2021-08-01 22:43:19,-28.55,16.4333,56.44,75,1,6.06,clear sky
91,Lagoa,PT,2021-08-01 22:43:19,39.05,-27.9833,71.85,95,37,15.39,scattered clouds
92,Carutapera,BR,2021-08-01 22:36:55,-1.195,-46.02,74.39,89,74,2.46,broken clouds
93,Dingle,PH,2021-08-01 22:43:19,10.9995,122.6711,80.51,84,100,10.02,overcast clouds
94,Sisimiut,GL,2021-08-01 22:43:20,66.9395,-53.6735,53.08,64,0,4.68,clear sky
95,Rincon,US,2021-08-01 22:34:15,32.296,-81.2354,93.65,58,40,0.0,thunderstorm
96,Hobart,AU,2021-08-01 22:35:04,-42.8794,147.3294,42.12,83,0,1.99,clear sky
97,Kieta,PG,2021-08-01 22:43:20,-6.2167,155.6333,82.31,74,8,1.9,light rain
