City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
168,Sayat,TM,76.87,clear sky,38.7839,63.8803,
169,Mahebourg,MU,66.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
170,Toledo,ES,76.08,broken clouds,39.8333,-4.0,Hotel Carlos V Toledo
173,Shache,CN,72.84,overcast clouds,38.4167,77.2406,Delong Hotel
175,Fairbanks,US,77.34,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
176,Nsanje,MW,61.63,clear sky,-16.92,35.262,Nsanje Discovery Lodge
177,Craig,US,78.17,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
181,Torbay,CA,66.97,scattered clouds,47.6666,-52.7314,Gallows Cove
184,Qinhuangdao,CN,72.63,light rain,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
185,Santana Do Matos,BR,77.34,scattered clouds,-5.9575,-36.6556,Pousada Empório
194,Bambous Virieux,MU,66.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
197,Wajid,SO,71.58,broken clouds,3.8093,43.2471,xamdihotelresturant114
199,Belmonte,BR,66.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
200,Salisbury,GB,61.48,broken clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
202,Westport,US,75.09,overcast clouds,41.1415,-73.3579,The Westport Inn
203,Bartica,GY,79.12,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
204,Hami,CN,68.04,broken clouds,42.8,93.45,Laoyutang Resort
206,Komsomolskiy,UZ,76.42,overcast clouds,40.4272,71.7189,Ikathouse
209,Meulaboh,ID,74.62,overcast clouds,4.1363,96.1285,Kost Pria
210,Ciudad Guayana,VE,75.65,broken clouds,8.3533,-62.6528,Hotel Las Americas
211,Baft,IR,73.04,overcast clouds,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
214,Sitka,US,64.29,broken clouds,57.0531,-135.33,Westmark Sitka
215,Jishou,CN,78.57,clear sky,28.3167,109.7167,7 Days Inn
217,Dinghai,CN,77.92,overcast clouds,26.2847,119.7936,
221,Jilin,CN,69.78,light rain,43.0,126.0,
222,Arraial Do Cabo,BR,64.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
225,Constantine,DZ,72.81,clear sky,36.365,6.6147,Grand Hotel Cirta
